;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 04/01/2016 11:47:36
;----------------------------------------------

;Address Opcode 	ASM
0x0041	0x00F1      	MOVWF      R0+1
0x0042	0x0872      	MOVF       R2, 0
0x0043	0x0084      	MOVWF      FSR
0x0044	0x0870      	MOVF       R0, 0
0x0045	0x0080      	MOVWF      INDF
0x0046	0x0871      	MOVF       R0+1, 0
0x0047	0x0A84      	INCF       FSR, 1
0x0048	0x0080      	MOVWF      INDF
0x0049	0x0872      	MOVF       R2, 0
0x004A	0x0084      	MOVWF      FSR
0x004B	0x0800      	MOVF       INDF, 0
0x004C	0x00F0      	MOVWF      R0
0x004D	0x0A84      	INCF       FSR, 1
0x004E	0x0800      	MOVF       INDF, 0
0x004F	0x00F1      	MOVWF      R0+1
0x0050	0x0870      	MOVF       R0, 0
0x0051	0x0471      	IORWF      R0+1, 0
0x0052	0x1D03      	BTFSS      STATUS, 2
0x0053	0x285E      	GOTO       L_systick_INT83
0x0054	0x3005      	MOVLW      5
0x0055	0x00F0      	MOVWF      R0
0x0056	0x1703      	BSF        STATUS, 6
0x0057	0x081E      	MOVF       systick_INT__os_i_L3, 0
0x0058	0x00F4      	MOVWF      R4
0x0059	0x20EF      	CALL       _Mul_8X8_U
0x005A	0x0870      	MOVF       R0, 0
0x005B	0x3EAA      	ADDLW      __OS_Tasks
0x005C	0x0084      	MOVWF      FSR
0x005D	0x1200      	BCF        INDF, 4
L_systick_INT83:
L_systick_INT82:
0x005E	0x1703      	BSF        STATUS, 6
0x005F	0x0A9E      	INCF       systick_INT__os_i_L3, 1
0x0060	0x281C      	GOTO       L_systick_INT79
L_systick_INT80:
;main.c,190 :: 		}
L_systick_INT78:
;main.c,191 :: 		}
L_end_systick_INT:
L__systick_INT101:
0x0061	0x1303      	BCF        STATUS, 6
0x0062	0x0824      	MOVF       36, 0
0x0063	0x00F0      	MOVWF      R0
0x0064	0x0823      	MOVF       35, 0
0x0065	0x00F1      	MOVWF      R1
0x0066	0x0822      	MOVF       34, 0
0x0067	0x00F2      	MOVWF      R2
0x0068	0x0821      	MOVF       33, 0
0x0069	0x00F4      	MOVWF      R4
0x006A	0x0820      	MOVF       32, 0
0x006B	0x00FC      	MOVWF      R12
0x006C	0x0825      	MOVF       37, 0
0x006D	0x0084      	MOVWF      FSR
0x006E	0x0851      	MOVF       ___savePCLATH, 0
0x006F	0x008A      	MOVWF      PCLATH
0x0070	0x0E50      	SWAPF      ___saveSTATUS, 0
0x0071	0x0083      	MOVWF      STATUS
0x0072	0x0EFF      	SWAPF      R15, 1
0x0073	0x0E7F      	SWAPF      R15, 0
0x0074	0x0009      	RETFIE
; end of _systick_INT
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x0075	0x3053      	MOVLW      83
0x0076	0x1283      	BCF        STATUS, 5
0x0077	0x1303      	BCF        STATUS, 6
0x0078	0x00FD      	MOVWF      R13
L_Delay_50us2:
0x0079	0x0BFD      	DECFSZ     R13, 1
0x007A	0x2879      	GOTO       L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x007B	0x0008      	RETURN
; end of _Delay_50us
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x007C	0x3024      	MOVLW      36
0x007D	0x1283      	BCF        STATUS, 5
0x007E	0x1303      	BCF        STATUS, 6
0x007F	0x00FC      	MOVWF      R12
0x0080	0x30B5      	MOVLW      181
0x0081	0x00FD      	MOVWF      R13
L_Delay_5500us5:
0x0082	0x0BFD      	DECFSZ     R13, 1
0x0083	0x2882      	GOTO       L_Delay_5500us5
0x0084	0x0BFC      	DECFSZ     R12, 1
0x0085	0x2882      	GOTO       L_Delay_5500us5
0x0086	0x0000      	NOP
0x0087	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x0088	0x0008      	RETURN
; end of _Delay_5500us
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x0089	0x0000      	NOP
0x008A	0x0000      	NOP
0x008B	0x0000      	NOP
0x008C	0x0000      	NOP
0x008D	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x008E	0x0008      	RETURN
; end of _Delay_1us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x008F	0x1283      	BCF        STATUS, 5
0x0090	0x1703      	BSF        STATUS, 6
0x0091	0x1B9D      	BTFSC      FARG_Lcd_Cmd_out_char, 7
0x0092	0x2896      	GOTO       L__Lcd_Cmd21
0x0093	0x1303      	BCF        STATUS, 6
0x0094	0x1388      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x0095	0x2898      	GOTO       L__Lcd_Cmd22
L__Lcd_Cmd21:
0x0096	0x1303      	BCF        STATUS, 6
0x0097	0x1788      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x0098	0x1703      	BSF        STATUS, 6
0x0099	0x1B1D      	BTFSC      FARG_Lcd_Cmd_out_char, 6
0x009A	0x289E      	GOTO       L__Lcd_Cmd23
0x009B	0x1303      	BCF        STATUS, 6
0x009C	0x1308      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x009D	0x28A0      	GOTO       L__Lcd_Cmd24
L__Lcd_Cmd23:
0x009E	0x1303      	BCF        STATUS, 6
0x009F	0x1708      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x00A0	0x1703      	BSF        STATUS, 6
0x00A1	0x1A9D      	BTFSC      FARG_Lcd_Cmd_out_char, 5
0x00A2	0x28A6      	GOTO       L__Lcd_Cmd25
0x00A3	0x1303      	BCF        STATUS, 6
0x00A4	0x1288      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00A5	0x28A8      	GOTO       L__Lcd_Cmd26
L__Lcd_Cmd25:
0x00A6	0x1303      	BCF        STATUS, 6
0x00A7	0x1688      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x00A8	0x1703      	BSF        STATUS, 6
0x00A9	0x1A1D      	BTFSC      FARG_Lcd_Cmd_out_char, 4
0x00AA	0x28AE      	GOTO       L__Lcd_Cmd27
0x00AB	0x1303      	BCF        STATUS, 6
0x00AC	0x1208      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00AD	0x28B0      	GOTO       L__Lcd_Cmd28
L__Lcd_Cmd27:
0x00AE	0x1303      	BCF        STATUS, 6
0x00AF	0x1608      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x00B0	0x185E      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00B1	0x28B4      	GOTO       L__Lcd_Cmd29
0x00B2	0x1488      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00B3	0x28B5      	GOTO       L__Lcd_Cmd30
L__Lcd_Cmd29:
0x00B4	0x1088      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x00B5	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,29 :: 		
0x00B6	0x2089      	CALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x00B7	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,33 :: 		
0x00B8	0x1703      	BSF        STATUS, 6
0x00B9	0x199D      	BTFSC      FARG_Lcd_Cmd_out_char, 3
0x00BA	0x28BE      	GOTO       L__Lcd_Cmd31
0x00BB	0x1303      	BCF        STATUS, 6
0x00BC	0x1388      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00BD	0x28C0      	GOTO       L__Lcd_Cmd32
L__Lcd_Cmd31:
0x00BE	0x1303      	BCF        STATUS, 6
0x00BF	0x1788      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x00C0	0x1703      	BSF        STATUS, 6
0x00C1	0x191D      	BTFSC      FARG_Lcd_Cmd_out_char, 2
0x00C2	0x28C6      	GOTO       L__Lcd_Cmd33
0x00C3	0x1303      	BCF        STATUS, 6
0x00C4	0x1308      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00C5	0x28C8      	GOTO       L__Lcd_Cmd34
L__Lcd_Cmd33:
0x00C6	0x1303      	BCF        STATUS, 6
0x00C7	0x1708      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x00C8	0x1703      	BSF        STATUS, 6
0x00C9	0x189D      	BTFSC      FARG_Lcd_Cmd_out_char, 1
0x00CA	0x28CE      	GOTO       L__Lcd_Cmd35
0x00CB	0x1303      	BCF        STATUS, 6
0x00CC	0x1288      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00CD	0x28D0      	GOTO       L__Lcd_Cmd36
L__Lcd_Cmd35:
0x00CE	0x1303      	BCF        STATUS, 6
0x00CF	0x1688      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x00D0	0x1703      	BSF        STATUS, 6
0x00D1	0x181D      	BTFSC      FARG_Lcd_Cmd_out_char, 0
0x00D2	0x28D6      	GOTO       L__Lcd_Cmd37
0x00D3	0x1303      	BCF        STATUS, 6
0x00D4	0x1208      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00D5	0x28D8      	GOTO       L__Lcd_Cmd38
L__Lcd_Cmd37:
0x00D6	0x1303      	BCF        STATUS, 6
0x00D7	0x1608      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x00D8	0x185E      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00D9	0x28DC      	GOTO       L__Lcd_Cmd39
0x00DA	0x1488      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00DB	0x28DD      	GOTO       L__Lcd_Cmd40
L__Lcd_Cmd39:
0x00DC	0x1088      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x00DD	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,41 :: 		
0x00DE	0x2089      	CALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x00DF	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,44 :: 		
0x00E0	0x1C5E      	BTFSS      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00E1	0x28E4      	GOTO       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x00E2	0x207C      	CALL       _Delay_5500us
0x00E3	0x28E5      	GOTO       L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x00E4	0x2075      	CALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x00E5	0x0008      	RETURN
; end of _Lcd_Cmd
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x00E6	0x1283      	BCF        STATUS, 5
0x00E7	0x1303      	BCF        STATUS, 6
0x00E8	0x105E      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,53 :: 		
0x00E9	0x1703      	BSF        STATUS, 6
0x00EA	0x081C      	MOVF       FARG_Lcd_Chr_CP_out_char, 0
0x00EB	0x009D      	MOVWF      FARG_Lcd_Cmd_out_char
0x00EC	0x208F      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x00ED	0x145E      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x00EE	0x0008      	RETURN
; end of _Lcd_Chr_CP
_Mul_8X8_U:
;__Lib_Math.c,103 :: 		
;__Lib_Math.c,108 :: 		
0x00EF	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,109 :: 		
0x00F0	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,110 :: 		
0x00F1	0x0870      	MOVF       R0, 0
;__Lib_Math.c,111 :: 		
0x00F2	0x00F1      	MOVWF      R1
;__Lib_Math.c,112 :: 		
0x00F3	0x01F0      	CLRF       R0
;__Lib_Math.c,113 :: 		
0x00F4	0x3008      	MOVLW      8
;__Lib_Math.c,114 :: 		
0x00F5	0x00FC      	MOVWF      R12
;__Lib_Math.c,115 :: 		
0x00F6	0x0871      	MOVF       R1, 0
;__Lib_Math.c,116 :: 		
0x00F7	0x0CF4      	RRF        R4, 1
;__Lib_Math.c,117 :: 		
0x00F8	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,118 :: 		
0x00F9	0x28FE      	GOTO       $+5
;__Lib_Math.c,119 :: 		
0x00FA	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,120 :: 		
0x00FB	0x28F7      	GOTO       $-4
;__Lib_Math.c,121 :: 		
0x00FC	0x01F1      	CLRF       R1
;__Lib_Math.c,122 :: 		
0x00FD	0x3400      	RETLW      0
;__Lib_Math.c,123 :: 		
0x00FE	0x1003      	BCF        STATUS, 0
;__Lib_Math.c,124 :: 		
0x00FF	0x2903      	GOTO       $+4
;__Lib_Math.c,125 :: 		
0x0100	0x0CF4      	RRF        R4, 1
;__Lib_Math.c,126 :: 		
0x0101	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,127 :: 		
0x0102	0x07F1      	ADDWF      R1, 1
;__Lib_Math.c,128 :: 		
0x0103	0x0CF1      	RRF        R1, 1
;__Lib_Math.c,129 :: 		
0x0104	0x0CF0      	RRF        R0, 1
;__Lib_Math.c,130 :: 		
0x0105	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,131 :: 		
0x0106	0x2900      	GOTO       $-6
;__Lib_Math.c,133 :: 		
;__Lib_Math.c,134 :: 		
L_end_Mul_8X8_U:
0x0107	0x0008      	RETURN
; end of _Mul_8X8_U
_Div_8X8_U:
;__Lib_Math.c,189 :: 		
;__Lib_Math.c,196 :: 		
0x0108	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,197 :: 		
0x0109	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,198 :: 		
0x010A	0x01F8      	CLRF       R8
;__Lib_Math.c,199 :: 		
0x010B	0x3008      	MOVLW      8
;__Lib_Math.c,200 :: 		
0x010C	0x00FC      	MOVWF      R12
;__Lib_Math.c,201 :: 		
0x010D	0x0D70      	RLF        R0, 0
;__Lib_Math.c,202 :: 		
0x010E	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,203 :: 		
0x010F	0x0874      	MOVF       R4, 0
;__Lib_Math.c,204 :: 		
0x0110	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,205 :: 		
0x0111	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,206 :: 		
0x0112	0x2915      	GOTO       $+3
;__Lib_Math.c,207 :: 		
0x0113	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,208 :: 		
0x0114	0x1003      	BCF        STATUS, 0
;__Lib_Math.c,209 :: 		
0x0115	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,210 :: 		
0x0116	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,211 :: 		
0x0117	0x290D      	GOTO       $-10
;__Lib_Math.c,213 :: 		
L_end_Div_8X8_U:
0x0118	0x0008      	RETURN
; end of _Div_8X8_U
_I2C1_Is_Idle:
;__Lib_I2C_c34.c,13 :: 		
;__Lib_I2C_c34.c,14 :: 		
0x0119	0x1683      	BSF        STATUS, 5
0x011A	0x1303      	BCF        STATUS, 6
0x011B	0x1914      	BTFSC      SSPSTAT, 2
0x011C	0x2927      	GOTO       L_I2C1_Is_Idle0
;__Lib_I2C_c34.c,15 :: 		
0x011D	0x301F      	MOVLW      31
0x011E	0x0511      	ANDWF      SSPCON2, 0
0x011F	0x00F1      	MOVWF      R1
0x0120	0x0871      	MOVF       R1, 0
0x0121	0x3A00      	XORLW      0
0x0122	0x1D03      	BTFSS      STATUS, 2
0x0123	0x2927      	GOTO       L_I2C1_Is_Idle1
;__Lib_I2C_c34.c,16 :: 		
0x0124	0x3001      	MOVLW      1
0x0125	0x00F0      	MOVWF      R0
0x0126	0x2928      	GOTO       L_end_I2C1_Is_Idle
L_I2C1_Is_Idle1:
L_I2C1_Is_Idle0:
;__Lib_I2C_c34.c,17 :: 		
0x0127	0x01F0      	CLRF       R0
;__Lib_I2C_c34.c,18 :: 		
L_end_I2C1_Is_Idle:
0x0128	0x0008      	RETURN
; end of _I2C1_Is_Idle
___OS_SET_FSR_CUR_TASK:
;osa_pic16_mikroc.c,115 :: 		
;osa_pic16_mikroc.c,117 :: 		
0x0129	0x1283      	BCF        STATUS, 5
0x012A	0x1303      	BCF        STATUS, 6
0x012B	0x086C      	MOVF       __OS_CurTask, 0
0x012C	0x0084      	MOVWF      FSR
;osa_pic16_mikroc.c,118 :: 		
0x012D	0x3000      	MOVLW      hi_addr(__OS_Tasks)
0x012E	0x3800      	IORLW      0
0x012F	0x1383      	BCF        STATUS, 7
0x0130	0x1D03      	BTFSS      STATUS, 2
0x0131	0x1783      	BSF        STATUS, 7
;osa_pic16_mikroc.c,119 :: 		
L_end___OS_SET_FSR_CUR_TASK:
0x0132	0x0008      	RETURN
; end of ___OS_SET_FSR_CUR_TASK
_I2C1_Start:
;__Lib_I2C_c34.c,20 :: 		
;__Lib_I2C_c34.c,23 :: 		
0x0133	0x1283      	BCF        STATUS, 5
0x0134	0x1703      	BSF        STATUS, 6
0x0135	0x0198      	CLRF       I2C1_Start_j_L0
0x0136	0x0199      	CLRF       I2C1_Start_j_L0+1
L_I2C1_Start2:
0x0137	0x0819      	MOVF       I2C1_Start_j_L0+1, 0
0x0138	0x3C12      	SUBLW      18
0x0139	0x1D03      	BTFSS      STATUS, 2
0x013A	0x293D      	GOTO       L__I2C1_Start27
0x013B	0x0818      	MOVF       I2C1_Start_j_L0, 0
0x013C	0x3C8E      	SUBLW      142
L__I2C1_Start27:
0x013D	0x1C03      	BTFSS      STATUS, 0
0x013E	0x294A      	GOTO       L_I2C1_Start3
;__Lib_I2C_c34.c,24 :: 		
0x013F	0x2119      	CALL       _I2C1_Is_Idle
0x0140	0x0870      	MOVF       R0, 0
0x0141	0x1903      	BTFSC      STATUS, 2
0x0142	0x2944      	GOTO       L_I2C1_Start5
;__Lib_I2C_c34.c,25 :: 		
0x0143	0x294A      	GOTO       L_I2C1_Start3
L_I2C1_Start5:
;__Lib_I2C_c34.c,23 :: 		
0x0144	0x1283      	BCF        STATUS, 5
0x0145	0x1703      	BSF        STATUS, 6
0x0146	0x0A98      	INCF       I2C1_Start_j_L0, 1
0x0147	0x1903      	BTFSC      STATUS, 2
0x0148	0x0A99      	INCF       I2C1_Start_j_L0+1, 1
;__Lib_I2C_c34.c,26 :: 		
0x0149	0x2937      	GOTO       L_I2C1_Start2
L_I2C1_Start3:
0x014A	0x1283      	BCF        STATUS, 5
0x014B	0x1703      	BSF        STATUS, 6
;__Lib_I2C_c34.c,28 :: 		
0x014C	0x3012      	MOVLW      18
0x014D	0x0219      	SUBWF      I2C1_Start_j_L0+1, 0
0x014E	0x1D03      	BTFSS      STATUS, 2
0x014F	0x2952      	GOTO       L__I2C1_Start28
0x0150	0x308F      	MOVLW      143
0x0151	0x0218      	SUBWF      I2C1_Start_j_L0, 0
L__I2C1_Start28:
0x0152	0x1C03      	BTFSS      STATUS, 0
0x0153	0x2957      	GOTO       L_I2C1_Start6
;__Lib_I2C_c34.c,29 :: 		
0x0154	0x307B      	MOVLW      123
0x0155	0x00F0      	MOVWF      R0
0x0156	0x295E      	GOTO       L_end_I2C1_Start
L_I2C1_Start6:
;__Lib_I2C_c34.c,31 :: 		
0x0157	0x1683      	BSF        STATUS, 5
0x0158	0x1303      	BCF        STATUS, 6
0x0159	0x1411      	BSF        SSPCON2, 0
;__Lib_I2C_c34.c,32 :: 		
L_I2C1_Start8:
0x015A	0x1C11      	BTFSS      SSPCON2, 0
0x015B	0x295D      	GOTO       L_I2C1_Start9
;__Lib_I2C_c34.c,33 :: 		
0x015C	0x295A      	GOTO       L_I2C1_Start8
L_I2C1_Start9:
;__Lib_I2C_c34.c,34 :: 		
0x015D	0x01F0      	CLRF       R0
;__Lib_I2C_c34.c,36 :: 		
L_end_I2C1_Start:
0x015E	0x0008      	RETURN
; end of _I2C1_Start
_I2C1_Wr:
;__Lib_I2C_c34.c,68 :: 		
;__Lib_I2C_c34.c,70 :: 		
0x015F	0x1283      	BCF        STATUS, 5
0x0160	0x1303      	BCF        STATUS, 6
0x0161	0x118C      	BCF        PIR1, 3
;__Lib_I2C_c34.c,71 :: 		
0x0162	0x1703      	BSF        STATUS, 6
0x0163	0x0818      	MOVF       FARG_I2C1_Wr_data_, 0
0x0164	0x1303      	BCF        STATUS, 6
0x0165	0x0093      	MOVWF      SSPBUF
;__Lib_I2C_c34.c,73 :: 		
L_I2C1_Wr18:
0x0166	0x1683      	BSF        STATUS, 5
0x0167	0x1D14      	BTFSS      SSPSTAT, 2
0x0168	0x296A      	GOTO       L_I2C1_Wr19
;__Lib_I2C_c34.c,74 :: 		
0x0169	0x2966      	GOTO       L_I2C1_Wr18
L_I2C1_Wr19:
;__Lib_I2C_c34.c,76 :: 		
L_I2C1_Wr20:
0x016A	0x1283      	BCF        STATUS, 5
0x016B	0x198C      	BTFSC      PIR1, 3
0x016C	0x296E      	GOTO       L_I2C1_Wr21
;__Lib_I2C_c34.c,77 :: 		
0x016D	0x296A      	GOTO       L_I2C1_Wr20
L_I2C1_Wr21:
;__Lib_I2C_c34.c,79 :: 		
0x016E	0x1683      	BSF        STATUS, 5
0x016F	0x1B11      	BTFSC      SSPCON2, 6
0x0170	0x2973      	GOTO       L_I2C1_Wr22
;__Lib_I2C_c34.c,80 :: 		
0x0171	0x01F0      	CLRF       R0
0x0172	0x2976      	GOTO       L_end_I2C1_Wr
;__Lib_I2C_c34.c,81 :: 		
L_I2C1_Wr22:
;__Lib_I2C_c34.c,83 :: 		
0x0173	0x1511      	BSF        SSPCON2, 2
;__Lib_I2C_c34.c,84 :: 		
0x0174	0x3002      	MOVLW      2
0x0175	0x00F0      	MOVWF      R0
;__Lib_I2C_c34.c,86 :: 		
L_end_I2C1_Wr:
0x0176	0x0008      	RETURN
; end of _I2C1_Wr
_I2C1_Repeated_Start:
;__Lib_I2C_c34.c,38 :: 		
;__Lib_I2C_c34.c,39 :: 		
0x0177	0x1683      	BSF        STATUS, 5
0x0178	0x1303      	BCF        STATUS, 6
0x0179	0x1491      	BSF        SSPCON2, 1
;__Lib_I2C_c34.c,40 :: 		
L_I2C1_Repeated_Start10:
0x017A	0x1C91      	BTFSS      SSPCON2, 1
0x017B	0x297D      	GOTO       L_I2C1_Repeated_Start11
;__Lib_I2C_c34.c,41 :: 		
0x017C	0x297A      	GOTO       L_I2C1_Repeated_Start10
L_I2C1_Repeated_Start11:
;__Lib_I2C_c34.c,42 :: 		
L_end_I2C1_Repeated_Start:
0x017D	0x0008      	RETURN
; end of _I2C1_Repeated_Start
_I2C1_Rd:
;__Lib_I2C_c34.c,44 :: 		
;__Lib_I2C_c34.c,47 :: 		
0x017E	0x1283      	BCF        STATUS, 5
0x017F	0x1303      	BCF        STATUS, 6
0x0180	0x118C      	BCF        PIR1, 3
;__Lib_I2C_c34.c,48 :: 		
0x0181	0x1683      	BSF        STATUS, 5
0x0182	0x1591      	BSF        SSPCON2, 3
;__Lib_I2C_c34.c,50 :: 		
L_I2C1_Rd12:
0x0183	0x1283      	BCF        STATUS, 5
0x0184	0x198C      	BTFSC      PIR1, 3
0x0185	0x2987      	GOTO       L_I2C1_Rd13
;__Lib_I2C_c34.c,51 :: 		
0x0186	0x2983      	GOTO       L_I2C1_Rd12
L_I2C1_Rd13:
